uid,sid,rating
3585,0,5
3585,1,5
3585,2,5
3585,3,5
3585,4,5
3585,5,5
3585,6,5
3585,7,5
3585,8,5
3585,9,5
3585,10,5
3585,11,5
3585,12,4
3585,13,5
3585,14,4
3585,15,4
3585,16,5
3585,17,5
3585,18,5
3585,19,5
3544,20,1
3544,21,1
3544,22,1
3544,23,3
3544,24,1
3544,25,1
3544,26,1
3544,27,1
3544,28,1
3544,19,1
7957,29,1
7957,30,4
7957,31,1
7957,20,5
7957,32,4
7957,33,2
7957,7,2
7957,34,1
7957,35,1
7957,36,1
7957,37,1
7957,38,1
7957,39,5
7957,40,1
7957,41,5
7957,42,2
7957,43,2
7957,44,1
7957,45,2
7957,46,2
8153,47,1
8153,48,1
8153,49,1
8153,50,1
8153,51,1
8153,52,1
8153,53,1
8153,54,1
8153,55,1
8153,56,1
8153,57,1
8153,30,1
8153,58,1
8153,59,1
8153,60,1
8153,61,4
8153,62,1
8153,63,1
8153,64,1
8153,65,1
8153,66,1
8153,67,1
8153,68,1
8153,69,1
8153,70,1
8153,71,1
8153,72,5
8153,73,1
8153,74,1
8153,1,1
8153,75,4
8153,76,1
8153,77,1
8153,78,1
8153,79,1
8153,80,1
8153,81,1
8153,82,1
8153,83,1
8153,2,3
8153,84,1
8153,85,1
8153,86,5
8153,87,1
8153,88,1
8153,89,1
8153,90,1
8153,91,1
8153,92,1
8153,93,1
8153,94,1
8153,3,1
8153,95,1
8153,96,1
8153,97,1
8153,98,1
8153,99,1
8153,100,1
8153,101,1
8153,102,1
8153,4,5
8153,103,4
8153,104,1
8153,105,4
8153,106,1
8153,107,1
8153,108,1
8153,109,1
8153,6,5
8153,110,1
8153,111,1
8153,112,1
8153,113,1
8153,114,1
8153,115,1
8153,116,1
8153,117,1
8153,118,1
8153,119,1
8153,120,4
8153,121,1
8153,122,1
8153,123,1
8153,124,1
8153,125,1
8153,126,1
8153,127,1
8153,128,1
8153,129,1
8153,130,1
8153,131,1
8153,132,4
8153,133,4
8153,134,1
8153,135,1
8153,136,1
8153,8,5
8153,137,1
8153,138,4
8153,139,1
8153,140,1
8153,36,1
8153,10,1
8153,141,1
8153,142,1
8153,143,1
8153,144,1
8153,145,1
8153,146,1
8153,147,1
8153,148,1
8153,149,1
8153,150,1
8153,151,1
8153,152,1
8153,153,1
8153,154,1
8153,155,1
8153,156,1
8153,157,1
8153,158,1
8153,159,1
8153,160,1
8153,161,1
8153,24,1
8153,162,1
8153,163,1
8153,164,1
8153,165,1
8153,166,1
8153,167,1
8153,168,1
8153,169,1
8153,170,1
8153,171,1
8153,172,1
8153,12,1
8153,173,1
8153,174,1
8153,175,1
8153,176,1
8153,177,1
8153,178,1
8153,179,1
8153,180,1
8153,181,1
8153,182,1
8153,183,1
8153,184,1
8153,185,1
8153,186,1
8153,187,1
8153,188,1
8153,189,1
8153,190,1
8153,191,1
8153,192,1
8153,193,1
8153,194,1
8153,195,5
8153,196,1
8153,197,1
8153,198,1
8153,199,1
8153,200,1
8153,201,1
8153,202,1
8153,203,1
8153,204,1
8153,205,1
8153,42,1
8153,206,1
8153,207,1
8153,208,1
8153,209,1
8153,210,1
8153,211,1
8153,17,5
8153,212,1
8153,213,1
8153,214,1
8153,215,1
8153,216,1
8153,217,1
8153,218,1
8153,219,1
8153,220,1
8153,221,1
8153,222,1
8153,223,1
8153,224,4
8153,225,1
8153,18,5
8153,226,1
8153,227,1
8153,228,1
8153,229,1
8153,230,1
8714,56,2
8714,71,1
8714,231,3
8714,87,2
8714,92,5
8714,232,1
8714,120,2
8714,233,4
8714,234,1
8714,235,1
8714,167,1
8714,236,1
8714,200,1
8714,214,1
8714,28,1
1439,56,5
1439,0,1
1439,237,4
1439,92,5
1439,24,5
1439,167,4
1439,182,4
1439,236,4
1439,200,1
1439,42,1
2580,47,1
2580,238,2
2580,239,3
2580,240,4
2580,61,3
2580,2,3
2580,86,3
2580,4,3
2580,241,3
2580,103,3
2580,105,2
2580,109,1
2580,6,3
2580,120,3
2580,10,3
2580,242,2
2580,243,3
2580,244,2
2580,245,3
2580,172,3
2580,195,3
2580,246,5
2580,17,3
2580,18,3
2580,247,1
3592,248,5
3592,249,5
3592,72,5
3592,1,5
3592,250,5
3592,92,3
3592,4,5
3592,103,5
3592,251,5
3592,157,5
3592,252,5
3592,172,5
3592,200,5
3592,17,5
3592,18,5
7280,239,4
7280,253,5
7280,52,3
7280,254,4
7280,255,4
7280,256,4
7280,111,4
7280,257,4
7280,233,4
7280,258,2
7280,234,3
7280,235,2
7280,259,4
7280,260,5
7280,261,5
7280,215,5
7280,221,1
7280,262,4
7280,247,4
7280,263,4
7054,264,5
7054,265,5
7054,83,5
7054,2,2
7054,266,5
7054,267,1
7054,268,5
7054,256,5
7054,269,5
7054,118,5
7054,9,2
7054,270,4
7054,235,5
7054,271,5
7054,272,5
7054,262,5
777,273,3
777,274,3
777,275,3
777,276,3
777,277,2
777,278,5
777,279,4
777,280,3
777,281,5
777,282,5
777,283,4
777,284,3
777,285,4
777,286,4
777,287,4
777,288,5
777,289,4
777,290,4
777,291,3
777,292,2
777,19,5
5975,52,1
5975,249,2
5975,56,1
5975,57,2
5975,293,2
5975,71,2
5975,294,1
5975,92,1
5975,295,1
5975,296,1
5975,297,1
5975,234,2
5975,298,1
5975,235,1
5975,167,1
5975,299,1
5975,300,4
5975,215,1
5975,219,1
5975,301,2
5975,223,1
5975,302,2
5975,303,1
5975,19,1
6070,273,5
6070,304,5
6070,73,3
6070,305,5
6070,306,4
6070,307,3
6070,103,4
6070,308,5
6070,6,4
6070,309,4
6070,182,4
6070,287,4
6070,46,3
6070,19,1
2553,239,5
2553,310,2
2553,311,3
2553,1,3
2553,82,1
2553,2,4
2553,306,1
2553,277,3
2553,312,1
2553,103,4
2553,313,2
2553,314,5
2553,120,4
2553,315,3
2553,134,4
2553,282,1
2553,316,3
2553,317,4
2553,318,3
2553,251,5
2553,235,1
2553,319,4
2553,320,4
2553,172,3
2553,321,1
2553,236,5
2553,322,5
2553,189,5
2553,190,5
2553,300,1
2553,287,1
2553,201,3
2553,42,1
2553,323,5
2553,324,4
2553,325,1
2553,46,1
2553,19,5
2732,47,4
2732,239,1
2732,326,2
2732,65,4
2732,72,4
2732,250,4
2732,79,4
2732,2,3
2732,94,5
2732,4,4
2732,103,3
2732,6,3
2732,327,5
2732,328,3
2732,329,4
2732,130,2
2732,134,4
2732,8,3
2732,10,4
2732,145,5
2732,330,1
2732,331,3
2732,332,3
2732,333,3
2732,173,1
2732,334,4
2732,14,5
2732,195,4
2732,335,5
2732,336,5
2732,337,1
2732,338,1
2732,17,5
2732,339,4
2732,324,5
2732,18,5
2732,247,4
2732,340,2
2732,230,2
1845,341,5
1845,342,5
1845,343,5
1845,238,5
1845,239,5
1845,344,5
1845,345,5
1845,346,5
1845,248,5
1845,347,5
1845,348,4
1845,53,5
1845,311,5
1845,349,5
1845,55,5
1845,240,5
1845,350,5
1845,351,5
1845,58,5
1845,352,5
1845,353,5
1845,354,5
1845,61,5
1845,63,5
1845,355,5
1845,0,5
1845,356,5
1845,357,5
1845,264,5
1845,358,5
1845,66,5
1845,359,5
1845,360,5
1845,237,2
1845,70,5
1845,361,5
1845,73,5
1845,362,5
1845,363,5
1845,1,5
1845,364,5
1845,365,5
1845,366,5
1845,77,5
1845,367,5
1845,78,5
1845,254,5
1845,79,5
1845,368,5
1845,265,5
1845,369,5
1845,370,5
1845,371,5
1845,372,5
1845,373,5
1845,2,5
1845,374,5
1845,375,5
1845,376,5
1845,377,5
1845,378,5
1845,379,5
1845,380,5
1845,381,5
1845,382,5
1845,266,5
1845,383,5
1845,384,5
1845,85,5
1845,385,5
1845,87,5
1845,386,5
1845,89,5
1845,255,5
1845,387,5
1845,388,5
1845,389,5
1845,390,5
1845,92,5
1845,391,5
1845,392,5
1845,393,5
1845,394,5
1845,395,5
1845,396,5
1845,96,5
1845,397,5
1845,398,5
1845,399,2
1845,400,4
1845,401,5
1845,402,5
1845,102,5
1845,403,5
1845,4,5
1845,404,5
1845,312,5
1845,103,5
1845,104,5
1845,106,5
1845,109,5
1845,405,5
1845,6,5
1845,406,5
1845,407,5
1845,408,5
1845,409,5
1845,410,5
1845,113,5
1845,411,5
1845,412,5
1845,269,5
1845,413,5
1845,414,5
1845,257,5
1845,415,5
1845,117,5
1845,416,5
1845,417,5
1845,418,5
1845,419,5
1845,120,5
1845,233,5
1845,420,5
1845,421,5
1845,422,5
1845,122,5
1845,423,5
1845,424,5
1845,425,5
1845,426,5
1845,427,5
1845,128,5
1845,428,5
1845,429,5
1845,430,5
1845,431,5
1845,432,5
1845,433,5
1845,434,5
1845,435,5
1845,436,5
1845,296,5
1845,136,4
1845,437,5
1845,438,5
1845,8,4
1845,439,5
1845,137,5
1845,138,4
1845,10,4
1845,440,5
1845,441,5
1845,442,5
1845,443,5
1845,444,5
1845,144,5
1845,330,5
1845,147,5
1845,445,5
1845,446,5
1845,447,5
1845,448,5
1845,153,5
1845,270,5
1845,154,5
1845,331,5
1845,449,5
1845,450,5
1845,451,5
1845,452,5
1845,453,5
1845,454,5
1845,252,5
1845,455,5
1845,456,4
1845,457,5
1845,458,2
1845,459,5
1845,460,5
1845,298,5
1845,461,5
1845,462,5
1845,463,5
1845,162,5
1845,464,5
1845,166,5
1845,243,5
1845,465,5
1845,259,5
1845,466,5
1845,467,5
1845,468,5
1845,168,5
1845,469,5
1845,169,5
1845,470,5
1845,245,5
1845,471,5
1845,472,5
1845,170,1
1845,172,5
1845,333,5
1845,12,5
1845,473,5
1845,474,5
1845,475,5
1845,476,5
1845,477,5
1845,478,5
1845,479,5
1845,480,5
1845,481,5
1845,482,5
1845,483,5
1845,484,5
1845,184,5
1845,485,5
1845,486,5
1845,487,5
1845,488,5
1845,489,5
1845,188,5
1845,190,5
1845,490,5
1845,491,5
1845,194,5
1845,195,5
1845,246,5
1845,271,5
1845,272,5
1845,492,5
1845,493,5
1845,197,5
1845,198,5
1845,494,2
1845,495,5
1845,200,5
1845,496,5
1845,497,5
1845,205,4
1845,337,5
1845,498,5
1845,499,5
1845,500,5
1845,501,5
1845,502,5
1845,503,5
1845,504,5
1845,505,5
1845,16,5
1845,506,5
1845,338,5
1845,208,5
1845,209,5
1845,507,5
1845,508,5
1845,509,5
1845,510,5
1845,511,5
1845,17,4
1845,512,5
1845,212,5
1845,513,3
1845,514,5
1845,515,5
1845,516,5
1845,517,5
1845,518,5
1845,519,5
1845,520,5
1845,220,5
1845,521,5
1845,522,5
1845,523,5
1845,524,5
1845,291,5
1845,525,5
1845,526,5
1845,527,5
1845,528,5
1845,529,5
1845,530,5
1845,531,5
1845,222,5
1845,223,5
1845,532,5
1845,533,5
1845,224,5
1845,303,5
1845,534,5
1845,18,5
1845,535,5
1845,247,5
1845,226,5
1845,536,5
1845,537,5
1845,228,5
1845,538,5
1845,539,5
1845,540,5
8957,348,4
8957,249,3
8957,61,1
8957,2,2
8957,541,4
8957,92,4
8957,4,5
8957,6,3
8957,120,3
8957,542,1
8957,543,2
8957,19,1
4660,56,4
4660,78,4
4660,374,2
4660,267,1
4660,544,4
4660,408,4
4660,419,3
4660,297,5
4660,234,3
4660,24,5
4660,164,2
4660,182,4
4660,300,2
4660,545,4
4660,272,4
4660,200,4
4660,546,3
4660,302,5
4660,19,5
8284,344,5
8284,248,5
8284,367,2
8284,255,4
8284,90,1
8284,92,4
8284,439,2
8284,547,3
8284,548,1
8284,235,1
8284,194,1
8284,200,3
8284,549,3
8284,301,1
1130,550,3
1130,551,3
1130,552,3
1130,1,3
1130,265,2
1130,2,3
1130,381,3
1130,553,4
1130,241,4
1130,6,3
1130,22,4
1130,269,3
1130,118,3
1130,554,3
1130,11,2
1130,235,2
1130,164,3
1130,555,4
1130,13,3
1130,556,3
1130,542,3
1130,194,2
1130,271,3
1130,272,4
1130,200,2
1130,201,2
1130,207,1
1130,508,4
1130,510,3
1130,517,3
1130,557,3
1130,558,2
7555,56,1
7555,559,1
7555,72,5
7555,94,3
7555,4,3
7555,103,1
7555,6,5
7555,560,1
7555,258,1
7555,14,1
7555,200,4
3857,249,1
3857,273,1
3857,56,1
3857,552,3
3857,92,4
3857,9,2
3857,287,1
3857,200,1
3857,543,4
3857,561,2
3857,19,2
4220,239,1
4220,2,1
4220,92,3
4220,4,3
4220,6,2
4220,548,1
4220,252,3
4220,167,3
4220,14,1
4220,200,3
4220,201,2
4220,546,3
4220,17,2
4220,521,1
4220,262,2
4220,18,3
4220,247,1
4220,19,4
5151,47,1
5151,52,1
5151,562,1
5151,249,5
5151,56,5
5151,71,1
5151,1,1
5151,374,1
5151,92,5
5151,563,1
5151,564,1
5151,241,1
5151,113,1
5151,411,1
5151,269,1
5151,415,1
5151,7,1
5151,417,1
5151,565,1
5151,8,2
5151,36,1
5151,9,1
5151,141,1
