uid,sid,rating
1964,0,6
3430,1,1
1306,2,10
223,3,10
1097,4,10
222,5,10
1652,6,6
252,7,8
2990,8,9
2055,9,7
2102,10,7
2870,11,8
3148,12,7
2658,13,7
1529,14,5
3139,15,9
811,16,10
1427,17,10
3832,18,6
2724,19,8
1194,20,8
665,21,8
2990,22,7
740,23,10
1788,24,10
1035,25,10
1470,26,5
2927,27,8
1458,28,10
2141,29,7
3531,30,10
3988,31,10
1530,32,8
1122,33,10
2762,34,8
3005,35,9
1448,36,6
2339,37,7
2867,38,10
2177,39,9
1894,40,6
1214,41,9
3539,42,8
1634,24,6
522,43,8
3167,44,6
1693,45,9
1991,46,10
2334,47,9
541,48,7
1343,49,7
1313,50,8
1756,51,10
73,52,9
1986,53,8
880,54,9
65,55,8
3683,56,7
2638,49,6
2622,57,5
3064,58,7
2656,59,10
1594,60,8
3424,61,8
3065,28,7
3460,62,7
292,63,7
355,64,9
941,65,7
3960,66,7
3039,67,2
2893,68,9
1681,10,9
254,69,7
1087,70,5
2508,71,5
3687,72,10
2720,73,7
2639,74,9
3225,75,8
3141,67,9
3506,76,9
568,77,10
3155,78,9
953,79,6
2534,80,7
2084,19,9
2466,81,8
1035,82,6
674,83,10
2414,84,9
3209,85,8
1119,86,9
199,87,6
2087,88,4
2458,89,10
1619,90,10
1177,91,7
2192,92,6
2647,93,9
3389,94,10
73,95,5
2304,96,9
840,97,10
294,98,10
4039,99,9
1929,2,4
2844,100,8
2468,101,7
599,102,5
451,103,8
2281,104,9
1823,105,8
2552,106,8
3814,107,8
6,108,8
3814,109,7
859,110,7
382,111,7
2511,112,7
2669,113,7
80,114,9
1508,115,10
2052,116,9
2630,117,9
1374,118,8
1719,119,7
882,120,7
3407,121,8
4050,122,8
2604,123,6
1852,124,9
1552,125,8
3209,126,7
2565,127,10
3849,128,6
3890,129,7
920,130,9
3039,131,9
2335,132,10
3357,133,9
2240,134,6
2055,135,8
2558,136,10
3656,137,8
593,138,10
10,139,6
1721,140,7
3259,141,7
1762,142,8
2998,143,9
813,144,7
783,145,8
1175,146,3
3252,147,8
3487,148,8
2538,149,8
3041,150,10
2183,151,10
1085,152,3
2794,153,9
3673,154,7
1468,155,9
401,156,10
2682,157,8
1950,158,8
695,159,8
2734,160,6
1461,161,6
2392,101,9
557,162,6
2549,163,6
362,164,7
3686,165,8
192,166,10
3267,167,10
1770,35,7
857,168,8
2257,169,8
1234,170,7
2722,171,8
2172,172,8
2945,173,8
3231,174,9
3418,175,8
4052,176,6
4010,177,8
1932,178,9
394,48,8
692,179,10
2236,180,9
483,181,9
338,101,9
3499,182,7
2448,183,10
3369,184,7
742,185,10
2072,31,9
3488,186,7
2086,50,8
1681,187,9
2043,188,9
721,189,10
509,190,9
859,191,7
420,169,7
8,192,8
2564,193,7
470,194,9
3945,195,7
3460,196,9
3702,197,10
1153,198,8
1814,199,9
2021,200,9
2434,201,7
1684,202,8
2932,203,7
3032,204,5
2585,205,7
2065,206,7
678,70,8
812,207,10
470,208,8
825,135,6
203,209,7
2401,210,10
3666,137,10
2940,211,9
3345,212,7
153,213,8
3403,214,9
113,215,8
3186,216,6
3532,217,9
50,218,8
1269,219,9
2919,220,7
3351,221,10
1514,100,10
2940,222,7
3900,223,9
272,224,9
2033,225,7
1153,226,6
1834,227,7
2485,228,10
665,116,8
2570,229,6
183,230,5
2709,231,7
3326,232,7
2050,233,8
2373,234,9
3050,235,7
929,236,7
1097,237,8
912,238,10
2910,239,10
1692,240,10
941,241,8
3680,242,7
1729,243,5
1113,244,7
929,245,8
2281,246,8
1513,247,9
1422,248,10
773,249,7
1648,250,10
2375,251,7
602,252,5
1192,253,7
2204,254,8
974,255,7
3151,256,8
2278,257,10
2694,258,10
73,259,9
678,260,7
1399,261,10
1297,261,8
141,137,8
1703,262,6
2975,263,9
1964,240,9
1552,264,9
459,265,7
1829,266,8
2377,267,7
3870,268,9
252,269,8
2992,270,10
1609,271,6
2103,45,7
2673,202,9
1269,272,7
1763,273,9
1118,274,9
1218,275,7
1872,276,2
216,277,8
38,278,7
3633,279,8
1582,280,8
2414,281,7
2612,282,8
452,283,9
3814,284,7
1418,285,7
2367,109,8
3827,286,10
2712,287,8
1488,288,9
2927,289,8
1343,290,9
1306,291,10
2549,292,7
1518,293,10
3071,294,6
1831,295,8
142,296,7
1675,297,10
2859,58,9
1308,298,10
3039,299,7
3810,240,8
3193,300,8
1389,301,7
2281,302,7
1552,303,9
205,304,8
1208,305,5
1592,306,7
1455,307,8
2323,308,7
216,309,8
1138,135,7
1202,310,4
45,100,9
2175,311,7
1516,312,9
1717,313,8
239,314,6
3345,315,10
