uid,sid,rating
0,0,6
0,406,9
0,610,7
0,1575,5
0,994,8
0,1507,7
0,217,10
0,176,8
0,3466,6
0,226,10
0,1875,8
0,21,6
0,1842,9
0,1278,7
0,219,6
0,2956,5
0,4116,6
0,98,9
0,430,8
0,1107,10
0,1624,9
0,1605,6
0,525,8
0,1655,8
0,1061,6
0,1332,6
0,4507,6
0,2897,9
0,1674,7
0,2027,6
0,2168,8
0,3001,7
0,1698,6
0,1148,8
0,3500,7
0,3773,7
0,509,10
0,1285,7
0,538,9
0,128,8
0,1543,9
0,207,6
0,2657,8
0,490,9
0,1745,8
0,1290,8
0,2713,6
0,1589,5
0,1340,7
0,2214,7
0,2382,8
0,1999,6
0,279,8
0,819,6
0,701,9
0,2019,8
0,680,10
0,1020,9
0,1124,7
0,88,7
0,1408,9
0,506,9
0,1812,8
0,5033,6
0,1446,6
0,2017,2
0,4796,8
0,864,7
0,5595,8
0,1338,9
0,82,7
0,805,3
0,2372,10
0,806,7
0,205,7
0,6026,8
0,310,9
0,2200,9
0,1852,9
0,902,8
0,962,8
0,1382,7
0,626,7
0,15,7
0,142,10
0,3339,6
0,92,8
0,574,8
0,418,8
0,1010,9
0,121,7
0,6250,7
0,2381,7
0,6262,5
0,3040,5
0,387,8
0,1255,9
0,900,8
0,6081,10
0,496,7
0,2586,8
0,246,8
0,1676,6
0,1941,9
0,2517,5
0,1064,6
0,4161,6
0,134,9
0,57,7
0,270,10
0,1910,8
0,517,9
0,1326,8
0,422,8
0,4403,8
0,1033,10
0,1166,8
0,6452,7
0,1740,8
0,470,9
0,2340,7
0,206,7
0,1445,8
0,2712,8
0,2619,9
0,4913,4
0,2160,9
0,1245,9
0,231,8
0,232,8
0,1566,9
0,1433,6
0,33,9
0,229,9
0,1266,8
0,1412,6
0,6737,7
0,1858,8
0,594,9
0,190,8
0,375,8
0,1253,7
0,254,8
0,292,8
0,927,8
0,1208,6
0,288,6
0,1153,7
0,2347,8
0,1778,9
0,1350,8
0,2314,7
0,189,8
0,5613,7
0,6020,6
0,1623,9
0,3039,7
0,844,8
0,1985,6
0,553,8
0,6294,9
0,442,7
0,20,10
0,3480,9
0,1832,7
0,1211,5
0,1414,10
0,1487,5
0,543,9
0,1085,10
0,5429,8
0,798,8
0,655,6
0,566,10
0,122,9
0,840,8
0,3576,8
0,1480,8
0,625,9
0,573,9
0,6753,5
0,208,6
0,1132,9
0,697,8
0,1102,8
0,454,8
0,235,9
0,736,8
0,305,7
0,513,7
0,352,8
0,391,9
0,3568,4
0,1979,8
0,512,8
0,657,7
0,2510,4
0,105,8
0,225,9
0,2374,8
0,1254,10
0,4829,9
0,2047,7
0,2690,6
0,269,9
0,689,9
0,940,8
0,447,7
0,5439,8
0,1333,8
0,1558,7
0,1728,7
0,113,10
0,423,6
0,1395,6
0,146,9
0,751,7
0,5267,9
0,961,8
0,158,8
1,1,9
1,270,9
1,1630,9
1,513,8
1,571,9
1,446,8
1,524,9
1,1674,8
1,2325,8
1,319,8
1,1480,9
1,554,9
1,706,8
1,484,8
1,98,8
1,533,8
1,1779,9
1,487,8
1,1552,8
1,691,9
1,255,10
1,557,8
1,875,8
1,719,10
1,395,8
1,595,9
1,712,8
1,1429,7
1,937,8
1,1739,7
1,399,9
1,1495,8
1,621,9
1,88,9
1,573,8
1,172,9
1,53,9
1,308,9
1,40,9
1,674,9
1,732,9
1,33,8
1,3935,8
1,1205,9
1,837,8
1,651,8
1,113,9
1,102,9
1,642,8
2,143,10
2,680,5
2,387,8
2,67,10
2,675,9
2,1790,8
2,1102,8
2,396,2
2,1034,10
2,1552,9
2,1973,9
2,18,8
2,217,9
2,495,8
2,158,4
2,652,6
2,334,8
2,82,5
2,1275,9
2,886,6
2,4,9
2,352,2
2,2157,9
2,2200,8
2,645,1
2,651,8
2,317,4
2,225,4
2,42,10
2,543,9
2,1008,8
2,448,5
2,2643,9
2,1297,8
2,557,9
2,229,9
2,28,10
2,822,6
2,413,9
2,684,10
2,1180,8
2,27,9
2,309,8
2,1032,7
2,1761,8
2,245,7
2,661,9
2,1646,8
2,2418,9
2,1685,7
2,342,9
2,20,5
2,383,7
2,1321,5
2,574,7
2,534,8
2,518,8
2,154,8
2,3628,6
2,15,1
2,1541,7
2,401,9
2,101,9
2,411,5
2,1148,8
2,356,8
