uid,sid,rating
291,0,3.0
11,1,2.0
233,2,3.5
300,3,4.0
204,4,4.0
41,5,4.0
143,6,2.5
196,7,3.0
330,8,5.0
360,9,5.0
22,10,5.0
43,11,2.0
167,6,4.0
183,12,4.0
35,13,3.0
306,14,4.5
61,15,1.5
46,16,4.0
256,17,3.0
43,18,3.0
147,19,4.5
328,20,4.5
255,21,2.5
66,22,2.0
143,23,5.0
22,24,5.0
350,25,1.5
312,26,3.5
43,27,1.0
290,28,3.0
344,29,5.0
3,30,5.0
52,31,5.0
170,32,3.0
141,33,2.0
13,34,4.0
22,35,4.0
200,36,2.5
83,37,4.5
342,38,4.0
228,39,4.0
136,40,4.0
151,41,3.0
291,42,5.0
283,43,3.5
53,44,4.0
152,45,3.5
346,46,3.5
69,47,5.0
204,48,2.0
312,49,5.0
11,50,3.5
350,51,3.0
204,52,3.5
83,53,4.0
350,54,3.5
141,55,5.0
350,56,5.0
196,57,4.0
200,58,1.0
263,59,4.0
61,60,4.5
240,61,4.0
312,62,2.5
83,63,2.0
130,64,4.5
123,65,3.5
115,66,3.5
279,67,4.5
135,68,4.0
133,69,3.5
350,70,5.0
104,3,5.0
133,71,4.0
66,72,4.0
294,73,2.0
171,74,1.0
233,75,3.5
246,76,4.0
240,77,3.5
143,78,3.5
22,79,5.0
331,80,3.0
22,81,4.0
121,82,4.5
279,83,4.5
354,84,3.0
204,85,4.0
22,86,3.0
133,87,4.0
204,88,3.0
359,89,4.0
356,90,3.5
22,91,5.0
312,92,3.0
100,93,5.0
172,47,4.5
284,94,4.5
152,95,4.5
156,96,4.0
312,97,4.5
55,98,3.0
116,99,3.0
280,100,3.5
46,101,4.0
298,102,2.5
204,103,4.0
119,104,2.0
184,105,3.5
284,106,3.0
170,107,2.0
268,108,3.0
94,109,3.5
133,110,4.0
200,111,3.0
293,112,5.0
123,113,3.5
55,114,3.5
360,115,5.0
70,116,4.0
41,117,5.0
240,118,4.5
217,119,1.5
66,120,2.0
170,121,4.0
133,122,3.5
196,123,2.5
46,124,3.0
210,125,3.5
298,126,5.0
121,127,4.0
41,128,4.0
354,129,2.5
83,130,4.0
94,131,4.0
167,132,4.0
355,133,3.5
334,134,1.0
92,135,3.0
122,10,4.5
230,136,3.0
365,42,5.0
93,137,4.5
342,138,5.0
83,139,2.0
156,140,5.0
68,141,2.5
134,142,5.0
361,143,1.5
291,144,3.5
158,145,4.0
199,29,3.5
52,146,3.0
67,147,3.5
83,148,4.0
123,149,4.0
57,150,4.0
83,39,3.5
200,151,3.5
170,152,3.0
67,153,4.0
204,154,3.5
24,155,3.0
39,156,2.5
354,157,4.0
22,158,5.0
346,159,3.5
230,160,4.0
121,161,3.5
56,162,5.0
9,9,5.0
9,163,5.0
223,164,3.0
6,165,5.0
291,166,3.5
6,167,5.0
19,168,4.5
170,169,4.0
200,170,1.5
354,171,3.5
46,172,3.5
144,173,3.0
346,174,4.5
204,175,3.0
299,176,5.0
215,177,5.0
204,178,3.0
120,179,3.0
321,180,0.5
277,181,0.5
105,182,4.5
170,183,4.0
204,184,4.0
143,185,5.0
312,186,4.0
0,187,4.0
260,188,3.5
187,189,4.0
0,12,3.5
196,190,2.0
334,191,4.0
196,192,2.0
153,193,2.5
204,194,3.0
255,106,3.0
204,195,3.0
316,196,5.0
81,197,2.0
1,198,2.0
77,199,4.0
163,200,5.0
58,66,3.5
355,201,4.5
147,202,4.5
15,41,0.5
22,203,5.0
200,204,2.5
315,205,4.0
163,66,3.0
43,206,3.0
3,207,4.5
115,208,3.5
60,64,3.5
200,209,2.5
170,210,0.5
193,211,4.0
293,212,4.0
204,26,4.0
200,213,2.5
204,214,3.0
350,138,5.0
122,167,5.0
277,215,4.0
59,216,3.5
31,217,5.0
22,218,5.0
206,219,4.5
37,220,2.0
165,41,4.0
309,221,3.0
326,222,1.0
121,221,2.0
102,107,3.0
105,223,3.5
77,32,4.0
143,224,5.0
252,225,4.5
120,226,3.0
4,227,3.0
290,228,1.5
204,229,4.5
355,230,4.5
329,231,4.0
172,232,3.0
238,233,4.5
151,234,4.0
83,235,3.5
196,236,2.5
33,237,5.0
66,238,2.0
276,239,5.0
67,240,4.5
200,241,2.5
365,242,4.5
200,243,2.5
83,244,3.5
