uid,sid,rating
0,0,3.0
0,32,3.5
0,529,4.0
0,552,3.5
0,1008,3.5
0,504,4.0
0,213,2.5
0,107,4.0
0,2438,3.0
0,527,3.0
0,2292,4.0
0,974,3.5
0,1218,3.5
0,3391,4.5
0,20,3.0
0,3287,3.5
0,3,3.5
0,2531,3.0
0,1106,4.0
0,721,3.0
0,835,4.0
0,482,2.5
0,4401,3.0
0,371,4.0
0,3056,3.0
0,4591,3.5
0,3729,3.5
0,285,3.5
0,1290,3.5
0,1545,4.0
0,271,3.0
0,1604,4.0
0,2665,1.5
0,2683,3.0
0,2773,4.0
0,2827,3.5
0,817,4.0
0,1554,3.0
0,1517,2.0
0,1665,3.5
0,941,3.5
0,3073,4.5
0,5411,3.5
0,1191,3.0
0,5514,2.5
0,2125,3.0
0,5399,2.5
0,1144,3.5
0,373,4.0
0,1824,3.0
0,2595,4.0
0,788,2.5
0,1524,3.0
0,3180,3.5
0,3662,3.5
0,450,4.0
0,2306,2.0
0,102,2.0
0,761,4.5
0,2478,3.0
0,2691,3.0
0,1722,3.5
0,6393,3.0
0,1501,1.0
0,1154,2.5
0,5414,5.0
0,5292,4.0
0,2793,3.0
0,1693,3.0
0,1548,3.0
0,6692,3.0
0,324,3.5
0,1087,2.5
0,714,3.0
0,525,4.0
0,376,3.5
0,831,3.0
0,995,3.5
0,1212,3.0
0,1208,3.5
0,3725,3.5
0,455,3.5
0,1375,3.0
0,294,3.0
0,12,3.0
0,2893,3.0
0,1100,2.5
0,3152,2.0
0,2176,3.5
0,505,2.0
0,307,3.5
0,1068,1.0
0,1642,3.5
0,1797,3.5
0,3938,3.5
0,74,5.0
0,1469,3.5
0,230,4.0
0,7416,3.5
0,5083,2.5
0,1155,3.5
0,2651,3.5
0,858,3.5
0,1029,4.0
0,2409,2.5
0,1530,2.5
0,2934,3.5
0,4607,2.5
0,1634,2.5
0,379,3.0
0,896,4.0
0,216,3.5
0,2158,3.5
0,2445,2.5
0,723,3.5
0,346,3.5
0,7584,3.5
0,223,3.5
0,698,3.5
0,169,2.5
0,4851,2.0
0,605,4.0
0,1344,3.5
0,5220,3.5
0,2349,3.5
0,440,3.0
0,8053,3.5
0,336,3.5
0,3639,3.0
0,3209,3.5
0,254,2.0
0,2157,2.0
0,1746,3.5
0,7963,3.5
0,4894,2.0
0,28,4.0
0,1027,3.0
0,1896,2.0
0,1058,3.5
0,332,3.5
0,688,3.5
0,2321,1.0
0,6464,3.0
0,1255,3.0
0,261,2.5
0,8815,4.0
0,146,4.0
0,5206,2.5
0,8609,3.0
0,4793,3.5
1,631,4.5
1,1557,3.0
1,2897,4.5
1,3373,3.5
1,3449,5.0
1,1301,4.5
1,1125,4.5
1,3647,4.5
1,3941,4.5
1,196,2.0
1,4244,5.0
1,2233,1.5
1,1215,4.5
1,5076,4.0
1,799,4.5
1,5633,4.5
1,1445,4.5
1,618,4.5
1,2695,3.5
1,638,5.0
1,285,3.5
1,224,4.5
1,145,5.0
1,776,5.0
1,4750,4.0
1,5686,4.0
1,3923,4.5
1,1345,3.5
1,2370,4.0
1,1898,4.5
1,1111,5.0
1,558,5.0
1,3376,4.0
1,8,4.0
1,100,4.0
1,958,1.0
1,2360,5.0
1,4158,4.0
1,74,4.0
1,1597,4.5
1,337,4.5
1,1775,3.0
1,1153,1.5
1,2781,4.5
1,772,4.0
1,2098,4.0
1,754,4.5
1,819,4.0
1,5499,4.0
1,1864,3.0
1,577,5.0
2,12,4.0
2,222,5.0
2,590,2.0
2,722,3.0
2,1006,4.0
2,1047,3.0
2,1174,4.0
2,522,4.0
2,1605,2.0
2,112,3.0
2,928,3.0
2,837,5.0
2,2305,2.0
2,2132,3.0
2,549,3.0
2,2559,3.0
2,1514,3.0
2,202,4.0
2,626,2.0
2,1554,5.0
2,2951,5.0
2,1401,4.0
2,414,3.0
2,1110,5.0
2,189,3.0
2,1043,1.0
2,802,4.0
2,251,3.0
2,753,4.0
2,37,4.0
2,2907,3.0
2,1738,3.0
2,385,3.0
2,4372,3.0
2,3147,3.0
2,938,3.0
2,977,1.0
2,1837,4.0
2,293,4.0
2,1686,1.0
2,2835,2.0
2,3897,4.0
2,1581,3.0
2,1535,1.0
2,4572,3.0
2,2374,4.0
2,2773,5.0
2,1928,2.0
2,1714,4.0
2,597,3.0
2,705,3.0
2,5603,4.0
2,633,5.0
2,3898,3.0
2,531,3.0
2,5802,3.0
2,2838,3.0
2,1585,3.0
2,898,3.0
2,4207,4.0
2,1256,3.0
2,915,2.0
2,399,3.0
2,775,4.0
2,534,4.0
2,311,2.0
2,1106,5.0
2,3404,3.0
2,274,4.0
2,3542,2.0
2,1931,1.0
2,720,3.0
2,1752,4.0
2,413,4.0
2,1279,5.0
2,1577,3.0
2,127,5.0
2,628,3.0
2,2920,2.0
2,11,4.0
2,200,4.0
2,137,3.0
2,4815,3.0
2,5948,3.0
2,2573,4.0
2,2664,3.0
2,3470,4.0
2,1359,5.0
2,232,3.0
2,2152,5.0
2,1414,1.0
2,2519,2.0
2,585,3.0
2,5198,4.0
2,1093,2.0
2,768,5.0
2,1867,3.0
2,250,4.0
2,732,4.0
2,2654,2.0
2,1800,4.0
2,7192,4.0
2,853,4.0
2,254,2.0
2,219,5.0
2,2176,3.0
2,1130,2.0
2,1312,4.0
2,815,3.0
2,4196,4.0
2,2018,5.0
2,1806,2.0
2,124,3.0
2,1430,1.0
2,292,4.0
2,1935,3.0
2,2534,4.0
2,1697,3.0
2,1802,3.0
2,358,5.0
2,1222,2.0
2,813,3.0
2,747,4.0
2,1609,4.0
2,5060,1.0
2,4488,4.0
2,3636,3.0
2,1521,5.0
2,2313,2.0
2,553,4.0
2,473,3.0
2,764,3.0
2,408,2.0
2,638,4.0
2,4566,5.0
2,136,4.0
2,1595,3.0
2,3290,2.0
2,337,5.0
2,835,4.0
2,445,1.0
2,2332,4.0
2,3566,5.0
2,2462,4.0
2,377,4.0
2,1825,4.0
2,383,4.0
2,1712,4.0
2,1972,2.0
2,83,4.0
2,931,3.0
2,3126,4.0
2,906,2.0
2,39,5.0
3,545,3.5
3,554,3.5
3,586,3.5
3,600,3.5
3,786,3.5
3,438,2.5
3,825,4.0
3,16,5.0
3,1175,4.5
3,1545,3.5
3,1696,3.0
3,1736,3.5
3,1744,2.5
3,1226,4.5
3,1937,3.5
3,683,3.0
3,2032,1.5
3,244,4.0
3,1248,3.5
3,303,4.5
3,1134,3.5
3,2370,3.5
3,2444,2.0
3,2138,4.0
3,2492,2.5
3,2517,3.5
3,2358,5.0
3,1107,3.5
3,1111,5.0
3,2723,4.5
3,2745,5.0
3,2776,1.0
3,2044,3.0
3,1274,3.0
3,2960,3.0
3,2996,4.0
3,13,2.5
3,1191,4.0
3,1378,2.5
3,307,4.0
3,3280,3.0
3,2368,3.0
3,2283,2.5
3,51,4.0
3,319,5.0
3,565,4.0
3,294,4.0
3,784,4.0
3,3448,1.5
3,23,5.0
3,3510,4.0
3,2530,3.0
3,3537,3.0
3,398,3.5
3,3544,4.0
3,1381,5.0
3,1205,4.0
3,1551,3.5
3,2197,4.0
3,798,4.0
3,121,4.5
3,2193,4.5
3,1357,5.0
3,3913,3.0
3,2326,4.0
3,2580,2.5
3,3624,4.0
3,4085,4.0
3,2662,3.5
3,3151,2.0
3,2291,3.0
3,4264,3.0
3,1909,4.0
3,4298,5.0
3,4307,4.0
3,823,2.5
3,2227,4.5
3,2296,3.5
3,4456,3.0
3,2701,5.0
3,145,5.0
3,618,5.0
3,4504,2.5
3,1908,4.0
3,1683,4.5
3,4671,3.5
3,1846,4.0
3,1528,5.0
3,4740,4.0
3,772,5.0
3,79,3.0
3,3499,3.0
3,4827,3.5
3,4877,3.0
3,502,4.5
3,4884,5.0
3,4898,3.0
3,144,5.0
3,4293,2.5
3,3008,3.5
3,3326,4.0
3,4996,4.0
3,1900,3.5
3,45,2.5
3,4787,3.5
3,160,3.5
3,4763,4.0
3,5061,4.5
3,1301,3.0
3,2331,5.0
3,5190,1.5
3,2170,3.0
3,488,4.5
3,3639,2.0
3,1733,3.0
3,5345,4.0
3,371,4.5
3,5356,4.0
3,5365,2.0
3,4398,3.5
3,2593,3.5
3,327,4.5
3,2180,3.0
3,5459,3.0
3,4369,3.0
3,5499,3.5
3,5520,5.0
3,776,5.0
3,340,3.5
3,5623,3.0
3,3803,4.0
3,5677,5.0
3,5694,3.0
3,1214,2.5
3,38,3.0
3,5758,4.0
3,805,4.5
3,130,5.0
3,396,3.5
3,2905,4.0
3,5821,4.0
3,242,4.0
3,234,3.5
3,5856,2.5
3,5370,2.5
3,3928,2.5
3,582,3.0
3,466,3.5
3,4546,3.0
3,5884,5.0
3,5914,3.0
3,2076,5.0
3,1541,3.5
3,1035,5.0
3,4813,5.0
3,525,4.0
3,801,3.5
3,3857,3.0
3,712,4.0
3,1870,5.0
3,6163,3.5
3,48,5.0
3,6194,3.5
3,1467,3.5
3,6218,3.5
3,33,3.0
3,5816,4.0
3,2110,4.5
3,6271,3.5
3,700,4.5
3,5338,2.5
3,4368,4.0
3,220,5.0
3,4359,4.0
3,6333,4.0
3,2321,3.5
3,5925,4.5
3,2728,4.0
3,6440,4.0
3,6443,4.0
3,2833,3.0
3,1599,4.0
3,2242,4.5
3,1020,4.5
3,2288,4.0
3,1153,3.5
3,1350,4.0
3,6532,4.0
3,5766,4.0
3,782,3.5
3,2369,3.5
3,679,3.0
3,4927,4.0
3,1665,3.5
3,6184,4.0
3,4318,4.0
3,831,3.0
3,238,4.0
3,4615,5.0
3,1501,4.0
3,2758,3.5
3,1801,4.0
3,4635,5.0
3,2521,3.5
3,3951,3.5
3,5825,3.5
3,199,3.0
3,6217,3.0
3,1066,3.0
3,41,5.0
3,1246,2.0
3,1216,3.5
3,1548,4.0
3,1811,3.5
3,1682,3.5
3,6895,3.0
3,1241,5.0
3,708,4.0
3,188,3.5
3,254,3.0
3,2781,3.5
3,1926,4.0
3,6938,1.5
3,3945,5.0
3,1344,4.5
3,6967,3.0
3,376,3.5
3,5867,4.5
3,4828,2.5
3,3455,3.0
3,4004,3.5
3,201,4.5
3,2588,3.5
3,1084,4.5
3,2232,4.0
3,5549,4.0
3,3548,1.0
3,890,3.0
