uid,sid,rating
0,0,3.0
1,1,4.0
2,2,3.0
3,3,4.0
4,4,2.0
5,5,3.5
6,6,3.5
7,7,4.0
8,8,4.0
9,9,4.0
10,10,2.5
11,11,3.0
2,12,4.0
12,13,2.0
13,14,5.0
5,15,1.5
14,16,5.0
15,17,5.0
16,18,0.5
17,19,2.0
18,20,2.0
19,21,4.0
20,10,4.0
21,22,3.5
22,23,4.0
23,24,3.0
24,25,4.5
25,26,4.0
26,27,1.5
27,28,1.5
28,29,4.0
29,30,3.0
17,31,3.0
30,32,4.0
31,11,4.0
32,33,5.0
33,34,4.5
34,35,4.5
35,36,2.5
36,37,5.0
25,38,3.0
37,39,4.0
38,40,2.0
10,41,5.0
15,42,5.0
39,43,1.5
40,44,2.0
41,45,3.5
17,46,1.0
42,47,4.0
43,48,3.0
44,49,5.0
45,50,5.0
46,51,4.0
47,52,4.0
48,53,5.0
49,54,3.0
50,55,4.0
51,56,2.0
52,57,4.0
19,58,5.0
15,59,4.0
53,60,2.5
54,61,4.5
55,62,4.0
56,63,4.0
57,64,4.0
58,65,4.0
59,66,3.0
0,67,5.0
60,68,5.0
61,69,3.5
62,70,3.5
63,71,4.0
64,72,3.5
65,73,3.5
66,74,5.0
8,75,2.0
41,76,5.0
4,77,3.5
26,71,4.0
39,78,3.0
61,79,3.5
8,80,3.5
54,81,4.0
39,82,3.5
51,83,5.0
30,84,4.0
39,85,5.0
11,86,4.0
53,87,1.0
67,88,4.0
27,89,4.5
42,90,4.0
68,91,4.5
69,92,3.0
2,93,2.0
70,11,3.0
71,94,4.0
72,95,3.0
41,96,2.5
54,97,2.0
57,98,2.0
73,99,2.5
74,100,4.5
75,101,3.5
76,102,3.5
77,103,4.5
78,104,4.0
79,105,3.5
39,106,5.0
80,107,3.0
81,7,5.0
30,108,3.5
79,109,4.0
38,110,4.0
82,111,2.0
83,112,1.0
70,113,3.0
26,114,4.5
6,115,3.5
50,116,3.0
84,117,4.0
85,118,0.5
71,119,3.5
10,120,3.5
86,121,4.0
15,122,5.0
87,123,3.0
60,124,4.5
15,125,4.0
88,126,4.5
77,127,4.5
89,128,4.0
90,129,3.0
8,130,4.0
86,131,4.0
15,132,3.0
79,133,4.0
8,134,3.0
91,135,1.5
92,136,4.0
93,137,3.5
15,138,5.0
41,139,3.0
19,140,4.0
73,88,3.5
94,141,5.0
25,142,4.0
95,74,4.5
96,143,4.5
64,144,4.5
97,145,4.0
98,146,4.0
41,147,4.5
99,148,4.0
100,149,3.0
101,53,4.0
102,150,4.0
103,151,3.0
104,152,3.5
28,153,4.0
2,154,4.0
105,155,2.0
106,83,5.0
107,156,2.5
8,157,4.0
108,158,2.0
109,159,3.5
96,160,3.0
49,161,2.0
110,162,4.5
19,163,4.0
37,164,3.0
111,165,3.0
5,166,4.0
